Aerial                         @2.2.6          aqua/Aerial
py35-toml                      @0.10.2         python/py-toml
py36-toml                      @0.10.2         python/py-toml
py37-toml                      @0.10.2         python/py-toml
py38-toml                      @0.10.2         python/py-toml
py39-toml                      @0.10.2         python/py-toml
py310-toml                     @0.10.2         python/py-toml
py-tomli                       @1.2.2          python/py-tomli
py36-tomli                     @1.2.2          python/py-tomli
py37-tomli                     @1.2.2          python/py-tomli
py38-tomli                     @1.2.2          python/py-tomli
py39-tomli                     @1.2.2          python/py-tomli
py310-tomli                    @1.2.2          python/py-tomli
py-tomli-w                     @0.4.0          python/py-tomli-w
py37-tomli-w                   @0.4.0          python/py-tomli-w
py38-tomli-w                   @0.4.0          python/py-tomli-w
py39-tomli-w                   @0.4.0          python/py-tomli-w
py310-tomli-w                  @0.4.0          python/py-tomli-w
py-tomlkit                     @0.7.2          python/py-tomlkit
py36-tomlkit                   @0.7.2          python/py-tomlkit
py37-tomlkit                   @0.7.2          python/py-tomlkit
py38-tomlkit                   @0.7.2          python/py-tomlkit
py39-tomlkit                   @0.7.2          python/py-tomlkit
py310-tomlkit                  @0.7.2          python/py-tomlkit
py-toolz                       @0.11.1         python/py-toolz
py27-toolz                     @0.10.0         python/py-toolz
py35-toolz                     @0.10.0         python/py-toolz
py36-toolz                     @0.11.1         python/py-toolz
py37-toolz                     @0.11.1         python/py-toolz
py38-toolz                     @0.11.1         python/py-toolz
py39-toolz                     @0.11.1         python/py-toolz
py-torchaudio                  @0.8.1          python/py-torchaudio
py37-torchaudio                @0.8.1          python/py-torchaudio
py38-torchaudio                @0.8.1          python/py-torchaudio
py39-torchaudio                @0.8.1          python/py-torchaudio
py-torchtext                   @0.8.1          python/py-torchtext
py37-torchtext                 @0.8.1          python/py-torchtext
py38-torchtext                 @0.8.1          python/py-torchtext
py39-torchtext                 @0.8.1          python/py-torchtext
py-torchvision                 @0.9.1          python/py-torchvision
py37-torchvision               @0.9.1          python/py-torchvision
py38-torchvision               @0.9.1          python/py-torchvision
py39-torchvision               @0.9.1          python/py-torchvision
py-tornado                     @6.1            python/py-tornado
py27-tornado                   @5.1.1          python/py-tornado
py35-tornado                   @6.0.4          python/py-tornado
py36-tornado                   @6.1            python/py-tornado
py37-tornado                   @6.1            python/py-tornado
py38-tornado                   @6.1            python/py-tornado
py39-tornado                   @6.1            python/py-tornado
py310-tornado                  @6.1            python/py-tornado
py-tornado5                    @5.1.1          python/py-tornado5
py37-tornado5                  @5.1.1          python/py-tornado5
py38-tornado5                  @5.1.1          python/py-tornado5
py39-tornado5                  @5.1.1          python/py-tornado5
py-torndb                      @0.3            python/py-torndb
py27-torndb                    @0.3            python/py-torndb
py-tox                         @3.24.4         python/py-tox
py27-tox                       @3.24.4         python/py-tox
py35-tox                       @3.24.4         python/py-tox
py36-tox                       @3.24.4         python/py-tox
py37-tox                       @3.24.4         python/py-tox
py38-tox                       @3.24.4         python/py-tox
py39-tox                       @3.24.4         python/py-tox
py310-tox                      @3.24.4         python/py-tox
py-tpg                         @3.2.2          python/py-tpg
py27-tpg                       @3.2.2          python/py-tpg
py-tpot                        @0.11.7         python/py-tpot
py27-tpot                      @0.10.2         python/py-tpot
py35-tpot                      @0.11.7         python/py-tpot
py36-tpot                      @0.11.7         python/py-tpot
py37-tpot                      @0.11.7         python/py-tpot
py38-tpot                      @0.11.7         python/py-tpot
py39-tpot                      @0.11.7         python/py-tpot
py-tqdm                        @4.62.3         python/py-tqdm
py27-tqdm                      @4.62.3         python/py-tqdm
py35-tqdm                      @4.62.3         python/py-tqdm
py36-tqdm                      @4.62.3         python/py-tqdm
py37-tqdm                      @4.62.3         python/py-tqdm
py38-tqdm                      @4.62.3         python/py-tqdm
py39-tqdm                      @4.62.3         python/py-tqdm
py310-tqdm                     @4.62.3         python/py-tqdm
py-traceback2                  @1.4.0          python/py-traceback2
py27-traceback2                @1.4.0          python/py-traceback2
py-tracer                      @0.3.2          python/py-tracer
py27-tracer                    @0.3.2          python/py-tracer
py35-tracer                    @0.3.2          python/py-tracer
py36-tracer                    @0.3.2          python/py-tracer
py37-tracer                    @0.3.2          python/py-tracer
py38-tracer                    @0.3.2          python/py-tracer
py39-tracer                    @0.3.2          python/py-tracer
py-traitlets                   @5.1.1          python/py-traitlets
py27-traitlets                 @4.3.3          python/py-traitlets
py35-traitlets                 @4.3.3          python/py-traitlets
py36-traitlets                 @4.3.3          python/py-traitlets
py37-traitlets                 @5.1.1          python/py-traitlets
py38-traitlets                 @5.1.1          python/py-traitlets
py39-traitlets                 @5.1.1          python/py-traitlets
py310-traitlets                @5.1.1          python/py-traitlets
py-traits                      @6.2.0          python/py-traits
py36-traits                    @6.2.0          python/py-traits
py37-traits                    @6.2.0          python/py-traits
py38-traits                    @6.2.0          python/py-traits
py39-traits                    @6.2.0          python/py-traits
py-traitsui                    @7.2.1          python/py-traitsui
py36-traitsui                  @7.2.1          python/py-traitsui
py37-traitsui                  @7.2.1          python/py-traitsui
py38-traitsui                  @7.2.1          python/py-traitsui
py39-traitsui                  @7.2.1          python/py-traitsui
py-traittypes                  @0.2.1          python/py-traittypes
py27-traittypes                @0.2.1          python/py-traittypes
py35-traittypes                @0.2.1          python/py-traittypes
py36-traittypes                @0.2.1          python/py-traittypes
py-transaction                 @3.0.0          python/py-transaction
py27-transaction               @3.0.0          python/py-transaction
py35-transaction               @3.0.0          python/py-transaction
py36-transaction               @3.0.0          python/py-transaction
py37-transaction               @3.0.0          python/py-transaction
py38-transaction               @3.0.0          python/py-transaction
py-transformers                @4.12.3         python/py-transformers
py38-transformers              @4.12.3         python/py-transformers
py39-transformers              @4.12.3         python/py-transformers
py-translationstring           @1.4            python/py-translationstring
py27-translationstring         @1.3            python/py-translationstring
py35-translationstring         @1.3            python/py-translationstring
py36-translationstring         @1.4            python/py-translationstring
py37-translationstring         @1.4            python/py-translationstring
py38-translationstring         @1.4            python/py-translationstring
py39-translationstring         @1.4            python/py-translationstring
py-tre                         @0.8.0          python/py-tre
py27-tre                       @0.8.0          python/py-tre
py-trep                        @1.0.3          python/py-trep
py27-trep                      @1.0.3          python/py-trep
py-trepan                      @0.8.8          python/py-trepan
py27-trepan                    @0.8.8          python/py-trepan
